transaction_id,store_id,product_id,customer_id,date,quantity,revenue,category,price,discount,region,manager,footfall,key_1,week,TV,Online,Print
T00001,S009,P0011,C00065,2023-06-11,2,276.68,Toys,197.63,0.3,West,Manager_9,1491,2023-06-05,2023-06-11,9697,5517,3658
T00002,S012,P0059,C00013,2023-04-10,3,480.2,Toys,207.88,0.23,South,Manager_12,4965,2023-04-10,2023-04-16,1016,6182,4848
T00003,S001,P0098,C00213,2023-12-04,2,385.04,Clothing,204.81,0.06,South,Manager_1,2215,2023-12-04,2023-12-10,6300,7761,1631
T00004,S001,P0088,C00242,2023-11-03,2,497.32,Electronics,259.02,0.04,South,Manager_1,2215,2023-10-30,2023-11-05,6002,1886,840
T00005,S015,P0079,C00213,2023-05-21,4,550.45,Toys,191.13,0.28,South,Manager_15,2182,2023-05-15,2023-05-21,2094,7124,3695
T00006,S002,P0038,C00181,2023-03-24,1,111.19,Books,117.04,0.05,West,Manager_2,4354,2023-03-20,2023-03-26,9792,1380,4713
T00007,S016,P0072,C00173,2023-06-26,1,291.96,Books,320.83,0.09,East,Manager_16,619,2023-06-26,2023-07-02,9872,6429,1109
T00008,S008,P0005,C00160,2023-07-17,4,605.77,Books,191.7,0.21,South,Manager_8,1376,2023-07-17,2023-07-23,2909,7364,3081
T00009,S013,P0048,C00164,2023-04-22,3,389.28,Books,182.76,0.29,East,Manager_13,1135,2023-04-17,2023-04-23,5427,6269,4631
T00010,S001,P0090,C00188,2023-02-25,4,1429.59,Home,430.6,0.17,South,Manager_1,2215,2023-02-20,2023-02-26,2012,1186,2381
T00011,S016,P0018,C00191,2023-06-28,2,537.33,Books,358.22,0.25,East,Manager_16,619,2023-06-26,2023-07-02,9872,6429,1109
T00012,S007,P0070,C00256,2023-07-05,1,18.59,Toys,26.19,0.29,South,Manager_7,504,2023-07-03,2023-07-09,9975,1949,4439
T00013,S005,P0037,C00183,2023-08-06,4,794.58,Home,233.7,0.15,East,Manager_5,3624,2023-07-31,2023-08-06,2268,6474,1284
T00014,S003,P0060,C00117,2023-11-12,3,124.15,Clothing,41.8,0.01,East,Manager_3,2991,2023-11-06,2023-11-12,4144,6798,742
T00015,S012,P0048,C00282,2023-08-05,4,519.04,Books,182.76,0.29,South,Manager_12,4965,2023-07-31,2023-08-06,8910,7034,3906
T00016,S016,P0077,C00196,2023-04-30,1,264.37,Electronics,300.42,0.12,East,Manager_16,619,2023-04-24,2023-04-30,8189,7349,3186
T00017,S019,P0028,C00034,2023-06-24,4,790.62,Clothing,274.52,0.28,South,Manager_19,1869,2023-06-19,2023-06-25,8478,1284,1687
T00018,S005,P0069,C00052,2023-01-23,4,701.88,Toys,211.41,0.17,East,Manager_5,3624,2023-01-23,2023-01-29,9745,3350,1769
T00019,S014,P0077,C00112,2023-08-01,1,264.37,Electronics,300.42,0.12,North,Manager_14,2193,2023-07-31,2023-08-06,1422,7715,4181
T00020,S005,P0081,C00252,2023-08-23,2,758.66,Books,403.54,0.06,East,Manager_5,3624,2023-08-21,2023-08-27,7394,3338,825
T00021,S015,P0040,C00082,2023-01-13,2,690.78,Clothing,442.81,0.22,South,Manager_15,2182,2023-01-09,2023-01-15,6578,6642,2120
T00022,S017,P0045,C00232,2023-04-11,1,116.11,Clothing,143.34,0.19,South,Manager_17,1330,2023-04-10,2023-04-16,1016,6182,4848
T00023,S014,P0096,C00227,2023-01-24,4,228.52,Home,57.13,0.0,North,Manager_14,2193,2023-01-23,2023-01-29,6904,5624,2537
T00024,S020,P0062,C00233,2023-12-30,1,112.63,Toys,130.97,0.14,South,Manager_20,1240,2023-12-25,2023-12-31,1194,3537,3342
T00025,S005,P0093,C00221,2023-01-11,2,659.57,Home,358.46,0.08,East,Manager_5,3624,2023-01-09,2023-01-15,1297,5903,1344
T00026,S012,P0058,C00042,2023-09-30,3,705.84,Clothing,283.47,0.17,South,Manager_12,4965,2023-09-25,2023-10-01,1287,6953,4782
T00027,S016,P0067,C00021,2023-10-08,4,506.59,Clothing,140.72,0.1,East,Manager_16,619,2023-10-02,2023-10-08,2986,3240,4466
T00028,S016,P0056,C00042,2023-04-04,2,171.98,Electronics,92.46,0.07,East,Manager_16,619,2023-04-03,2023-04-09,8825,2751,4481
T00029,S007,P0040,C00113,2023-07-20,4,1381.57,Clothing,442.81,0.22,South,Manager_7,504,2023-07-17,2023-07-23,2909,7364,3081
T00030,S004,P0098,C00105,2023-01-21,1,192.52,Clothing,204.81,0.06,East,Manager_4,3160,2023-01-16,2023-01-22,2015,2384,1897
T00031,S001,P0040,C00192,2023-12-06,3,1036.18,Clothing,442.81,0.22,South,Manager_1,2215,2023-12-04,2023-12-10,6300,7761,1631
T00032,S005,P0091,C00017,2023-07-30,1,154.45,Home,169.72,0.09,East,Manager_5,3624,2023-07-24,2023-07-30,5942,5138,1364
T00033,S010,P0077,C00120,2023-05-20,3,793.11,Electronics,300.42,0.12,East,Manager_10,4642,2023-05-15,2023-05-21,1662,1479,4718
T00034,S005,P0033,C00129,2023-10-20,4,1536.18,Toys,441.43,0.13,East,Manager_5,3624,2023-10-16,2023-10-22,8493,5103,2576
T00035,S004,P0006,C00130,2023-10-25,4,1256.36,Clothing,337.73,0.07,East,Manager_4,3160,2023-10-23,2023-10-29,6231,3994,4244
T00036,S002,P0088,C00060,2023-04-11,1,248.66,Electronics,259.02,0.04,West,Manager_2,4354,2023-04-10,2023-04-16,8382,3476,1290
T00037,S020,P0019,C00048,2023-10-31,3,142.83,Electronics,64.34,0.26,South,Manager_20,1240,2023-10-30,2023-11-05,6002,1886,840
T00038,S010,P0080,C00029,2023-12-25,3,378.26,Toys,128.66,0.02,East,Manager_10,4642,2023-12-25,2023-12-31,1298,1923,4732
T00039,S019,P0040,C00097,2023-01-28,4,1381.57,Clothing,442.81,0.22,South,Manager_19,1869,2023-01-23,2023-01-29,4792,6567,3441
T00040,S001,P0092,C00010,2023-02-10,1,102.59,Electronics,117.92,0.13,South,Manager_1,2215,2023-02-06,2023-02-12,7197,4066,1283
T00041,S005,P0097,C00242,2023-12-21,3,1144.19,Books,470.86,0.19,East,Manager_5,3624,2023-12-18,2023-12-24,4823,7770,1549
T00042,S013,P0059,C00232,2023-10-30,4,640.27,Toys,207.88,0.23,East,Manager_13,1135,2023-10-30,2023-11-05,6594,7355,2144
T00043,S004,P0059,C00277,2023-05-26,2,320.14,Toys,207.88,0.23,East,Manager_4,3160,2023-05-22,2023-05-28,6060,3708,3675
T00044,S016,P0048,C00284,2023-09-13,1,129.76,Books,182.76,0.29,East,Manager_16,619,2023-09-11,2023-09-17,9832,6974,4578
T00045,S016,P0041,C00203,2023-08-15,2,263.53,Toys,168.93,0.22,East,Manager_16,619,2023-08-14,2023-08-20,5054,5895,1435
T00046,S002,P0013,C00247,2023-08-24,1,353.56,Books,425.97,0.17,West,Manager_2,4354,2023-08-21,2023-08-27,6275,1507,1936
T00047,S017,P0045,C00290,2023-12-27,4,464.42,Clothing,143.34,0.19,South,Manager_17,1330,2023-12-25,2023-12-31,1194,3537,3342
T00048,S020,P0089,C00264,2023-01-13,3,831.75,Toys,350.95,0.21,South,Manager_20,1240,2023-01-09,2023-01-15,6578,6642,2120
T00049,S012,P0053,C00214,2023-07-29,3,848.77,Toys,349.29,0.19,South,Manager_12,4965,2023-07-24,2023-07-30,1691,5019,1431
T00050,S018,P0042,C00200,2023-08-17,3,190.61,Electronics,69.82,0.09,North,Manager_18,4175,2023-08-14,2023-08-20,9644,3397,2475
T00051,S003,P0100,C00079,2023-04-10,1,370.02,Electronics,420.48,0.12,East,Manager_3,2991,2023-04-10,2023-04-16,5769,6247,2861
T00052,S001,P0063,C00173,2023-01-31,4,1292.38,Books,351.19,0.08,South,Manager_1,2215,2023-01-30,2023-02-05,6695,7401,1477
T00053,S001,P0027,C00069,2023-01-16,2,544.96,Home,306.16,0.11,South,Manager_1,2215,2023-01-16,2023-01-22,7548,5780,3450
T00054,S019,P0038,C00087,2023-05-17,4,444.75,Books,117.04,0.05,South,Manager_19,1869,2023-05-15,2023-05-21,2094,7124,3695
T00055,S011,P0060,C00101,2023-11-25,2,82.76,Clothing,41.8,0.01,East,Manager_11,4864,2023-11-20,2023-11-26,9844,7028,4012
